ID Cliente;Nome Cliente;Segmento;Cidade;Estado;Pais;Mercado;Regiao
VD-21670;Valerie Dominguez;Consumidor;Soyapango;San Salvador;El Salvador;LATAM;Central
PB-19210;Phillip Breyer;Corporativo;Taipei;Taipei City;Taiwan;APAC;North Asia
EB-14110;Eugene Barchas;Consumidor;Leipzig;Saxony;Germany;EU;Central
KF-16285;Karen Ferguson;Outros;Los Angeles;California;United States;US;West
BP-11230;Benjamin Patterson;Consumidor;Surat;Gujarat;India;APAC;Central Asia
RR-19525;Rick Reed;Corporativo;Santo Domingo;Santo Domingo;Dominican Republic;LATAM;Caribbean
BS-11365;Bill Shonely;Corporativo;Saint-Brieuc;Brittany;France;EU;Central
JE-15745;Joel Eaton;Consumidor;Amarillo;Texas;United States;US;Central
DP-13105;Dave Poirier;Corporativo;Gold Coast;Queensland;Australia;APAC;Oceania
NP-18700;Nora Preis;Consumidor;Fresno;California;United States;US;West
AH-30;Aaron Hawkins;Corporativo;Kamina;Katanga;Democratic Republic of the Congo;Africa;Africa
DM-13015;Darrin Martin;Consumidor;New York City;New York;United States;US;East
GT-14635;Grant Thornton;Corporativo;Burlington;North Carolina;United States;US;South
PO-18865;Patrick O'Donnell;Consumidor;Stockton-on-Tees;England;United Kingdom;EU;North
DL-12865;Dan Lawera;Consumidor;Brisbane;Queensland;Australia;APAC;Oceania
JB-16000;Joy Bell-;Consumidor;Mataram;Nusa Tenggara Barat;Indonesia;APAC;Southeast Asia
BF-11005;Barry Franz;Outros;Gorakhpur;Haryana;India;APAC;Central Asia
VG-21805;Vivek Grady;Corporativo;Thiruvananthapuram;Kerala;India;APAC;Central Asia
GT-14710;Greg Tran;Consumidor;Huddersfield;England;United Kingdom;EU;North
ZC-21910;Zuschuss Carroll;Consumidor;Berlin;Berlin;Germany;EU;Central
SC-20095;Sanjit Chand;Consumidor;Minneapolis;Minnesota;United States;US;Central
EB-13840;Ellis Ballard;Corporativo;Montreuil;Ile-de-France;France;EU;Central
AP-10915;Arthur Prichep;Consumidor;Shouguang;Shandong;China;APAC;North Asia
SW-20275;Scott Williamson;Consumidor;Jamshedpur;Jharkhand;India;APAC;Central Asia
JH-15820;John Huston;Consumidor;Paysandú;Paysandú;Uruguay;LATAM;South
LC-16885;Lena Creighton;Consumidor;New York City;New York;United States;US;East
TG-11640;Trudy Glocke;Consumidor;Behshahr;Mazandaran;Iran;EMEA;EMEA
HR-14830;Harold Ryan;Corporativo;Huntington Beach;California;United States;US;West
DG-3300;Deirdre Greer;Corporativo;Maputo;Cidade De Maputo;Mozambique;Africa;Africa
SG-20470;Sheri Gordon;Consumidor;Bhopal;Madhya Pradesh;India;APAC;Central Asia
FH-14365;Fred Hopkins;Corporativo;Seattle;Washington;United States;US;West
GP-14740;Guy Phonely;Corporativo;Delhi;Delhi;India;APAC;Central Asia
MW-18220;Mitch Webber;Consumidor;Geraldton;Western Australia;Australia;APAC;Oceania
PO-18850;Patrick O'Brill;Consumidor;Tallahassee;Florida;United States;US;South
CS-12460;Chuck Sachs;Consumidor;Dhaka;Dhaka;Bangladesh;APAC;Central Asia
KD-16495;Keith Dawkins;Corporativo;New York City;New York;United States;US;East
MS-17980;Michael Stewart;Corporativo;Munster;Lower Saxony;Germany;EU;Central
KC-16675;Kimberly Carter;Corporativo;Celle;Lower Saxony;Germany;EU;Central
DB-13405;Denny Blanton;Consumidor;Wuxi;Jiangsu;China;APAC;North Asia
JD-15895;Jonathan Doherty;Corporativo;Richmond;Virginia;United States;US;South
DK-13090;Dave Kipp;Consumidor;Seville;Andalusía;Spain;EU;South
CS-11845;Cari Sayre;Corporativo;Raipur;Uttarakhand;India;APAC;Central Asia
EM-14200;Evan Minnotte;Outros;Gómez Palacio;Durango;Mexico;LATAM;North
DW-3480;Dianna Wilson;Outros;Kharkiv;Kharkiv;Ukraine;EMEA;EMEA
AS-10225;Alan Schoenberger;Corporativo;Jinan;Shandong;China;APAC;North Asia
ST-20530;Shui Tom;Consumidor;Chinandega;Chinandega;Nicaragua;LATAM;Central
BW-1065;Barry Weirich;Consumidor;Kananga;Kasai-Occidental;Democratic Republic of the Congo;Africa;Africa
LA-16780;Laura Armstrong;Corporativo;Palembang;Sumatera Selatan;Indonesia;APAC;Southeast Asia
AB-10150;Aimee Bixby;Consumidor;London;England;United Kingdom;EU;North
CM-12385;Christopher Martinez;Consumidor;Atlanta;Georgia;United States;US;South
BE-11410;Bobby Elias;Consumidor;Duisburg;North Rhine-Westphalia;Germany;EU;Central
SZ-20035;Sam Zeldin;Outros;Nanchong;Sichuan;China;APAC;North Asia
RM-19375;Raymond Messe;Consumidor;Naihati;West Bengal;India;APAC;Central Asia
HG-14845;Harry Greene;Consumidor;Lille;Nord-Pas-de-Calais;France;EU;Central
DP-3105;Dave Poirier;Corporativo;Meknes;Meknès-Tafilalet;Morocco;Africa;Africa
AR-10540;Andy Reiter;Consumidor;Jackson;Michigan;United States;US;Central
TP-21415;Tom Prescott;Consumidor;Philadelphia;Pennsylvania;United States;US;East
AM-10705;Anne McFarland;Consumidor;Bandung;Jawa Barat;Indonesia;APAC;Southeast Asia
AB-255;Alejandro Ballentine;Outros;Casablanca;Grand Casablanca;Morocco;Africa;Africa
RP-19270;Rachel Payne;Corporativo;Sydney;New South Wales;Australia;APAC;Oceania
BK-11260;Berenike Kampe;Consumidor;Tongi;Dhaka;Bangladesh;APAC;Central Asia
JM-15250;Janet Martin;Consumidor;Suzhou;Anhui;China;APAC;North Asia
LW-16990;Lindsay Williams;Corporativo;Henderson;Nevada;United States;US;West
NZ-18565;Nick Zandusky;Outros;Paris;Ile-de-France;France;EU;Central
SV-10815;Stuart Van;Corporativo;Montréal;Quebec;Canada;Canada;Canada
SC-20695;Steve Chapman;Corporativo;Manila;National Capital;Philippines;APAC;Southeast Asia
NC-18625;Noah Childs;Corporativo;Newcastle;New South Wales;Australia;APAC;Oceania
NF-18385;Natalie Fritzler;Consumidor;Graz;Styria;Austria;EU;Central
PM-18940;Paul MacIntyre;Consumidor;Boulogne-Billancourt;Ile-de-France;France;EU;Central
MZ-17335;Maria Zettner;Outros;Malakoff;Ile-de-France;France;EU;Central
HM-4980;Henry MacAllister;Consumidor;Kinshasa;Kinshasa;Democratic Republic of the Congo;Africa;Africa
RW-19540;Rick Wilson;Corporativo;Perth;Western Australia;Australia;APAC;Oceania
LH-17155;Logan Haushalter;Consumidor;Le Bouscat;Aquitaine;France;EU;Central
KM-16660;Khloe Miller;Consumidor;Augsburg;Bavaria;Germany;EU;Central
AB-10060;Adam Bellavance;Outros;Seattle;Washington;United States;US;West
DB-13060;Dave Brooks;Consumidor;Gold Coast;Queensland;Australia;APAC;Oceania
VM-21685;Valerie Mitchum;Outros;Bergen op Zoom;North Brabant;Netherlands;EU;Central
DM-13525;Don Miller;Corporativo;Hanover;Lower Saxony;Germany;EU;Central
NM-18520;Neoma Murray;Consumidor;Vigo;Galicia;Spain;EU;South
RO-19780;Rose O'Brian;Consumidor;Gaoyou;Jiangsu;China;APAC;North Asia
SB-20185;Sarah Brown;Consumidor;Los Angeles;California;United States;US;West
EM-14065;Erin Mull;Consumidor;Bremen;Bremen;Germany;EU;Central
RS-19765;Roland Schwarz;Corporativo;Los Angeles;California;United States;US;West
ON-18715;Odella Nelson;Corporativo;Muret;Midi-Pyrénées;France;EU;Central
VS-21820;Vivek Sundaresam;Consumidor;Zigong;Sichuan;China;APAC;North Asia
CM-12115;Chad McGuire;Consumidor;Adelaide;South Australia;Australia;APAC;Oceania
TB-21400;Tom Boeckenhauer;Consumidor;New York City;New York;United States;US;East
AB-10105;Adrian Barton;Consumidor;Detroit;Michigan;United States;US;Central
DW-13540;Don Weiss;Consumidor;Kuantan;Pahang;Malaysia;APAC;Southeast Asia
PS-19045;Penelope Sewall;Outros;Harrisonburg;Virginia;United States;US;South
CC-12370;Christopher Conant;Consumidor;Philadelphia;Pennsylvania;United States;US;East
TC-21295;Toby Carlisle;Consumidor;Everett;Massachusetts;United States;US;East
GM-14440;Gary McGarr;Consumidor;Quito;Pichincha;Ecuador;LATAM;South
SV-20815;Stuart Van;Corporativo;Vadodara;Gujarat;India;APAC;Central Asia
MM-17920;Michael Moore;Consumidor;Sanya;Hainan;China;APAC;North Asia
JK-16120;Julie Kriz;Outros;Palembang;Sumatera Selatan;Indonesia;APAC;Southeast Asia
DJ-13510;Don Jones;Corporativo;San Diego;California;United States;US;West
AT-10435;Alyssa Tate;Outros;Guaymas;Sonora;Mexico;LATAM;North
AB-10015;Aaron Bergman;Consumidor;Wuhan;Hubei;China;APAC;North Asia
RP-19390;Resi Pölking;Consumidor;Madison;Wisconsin;United States;US;Central
MJ-17740;Max Jones;Consumidor;San Diego;California;United States;US;West
PV-18985;Paul Van Hugh;Outros;Salto;São Paulo;Brazil;LATAM;South
SB-20290;Sean Braxton;Corporativo;Treviso;Veneto;Italy;EU;South
SM-10005;Sally Matthias;Consumidor;Hargeysa;Woqooyi Galbeed;Somalia;Africa;Africa
KH-16330;Katharine Harms;Corporativo;Yogyakarta;Yogyakarta;Indonesia;APAC;Southeast Asia
MP-18175;Mike Pelletier;Outros;Perth;Western Australia;Australia;APAC;Oceania
LH-17020;Lisa Hazard;Consumidor;Anshan;Liaoning;China;APAC;North Asia
ND-18370;Natalie DeCherney;Consumidor;New York City;New York;United States;US;East
CR-12625;Corey Roper;Outros;Brisbane;Queensland;Australia;APAC;Oceania
GM-14680;Greg Matthias;Consumidor;Amsterdam;North Holland;Netherlands;EU;Central
RA-19945;Ryan Akin;Consumidor;Le Petit-Quevilly;Upper Normandy;France;EU;Central
BW-11110;Bart Watters;Corporativo;Detroit;Michigan;United States;US;Central
RF-19735;Roland Fjeld;Consumidor;Perth;Western Australia;Australia;APAC;Oceania
AG-10675;Anna Gayman;Consumidor;Houston;Texas;United States;US;Central
DM-12955;Dario Medina;Corporativo;Mixco;Guatemala;Guatemala;LATAM;Central
KD-16270;Karen Daniels;Consumidor;Yonkers;New York;United States;US;East
BE-11335;Bill Eplett;Outros;Morelia;Michoacán;Mexico;LATAM;North
SO-20335;Sean O'Donnell;Consumidor;Changchun;Jilin;China;APAC;North Asia
DK-12835;Damala Kotsonis;Corporativo;Madrid;Madrid;Spain;EU;South
LC-7050;Liz Carlisle;Consumidor;Jeddah;Makkah;Saudi Arabia;EMEA;EMEA
CG-12520;Claire Gute;Consumidor;Adelaide;South Australia;Australia;APAC;Oceania
TB-21280;Toby Braunhardt;Consumidor;Norman;Oklahoma;United States;US;Central
HG-15025;Hunter Glantz;Consumidor;Medan;Sumatera Utara;Indonesia;APAC;Southeast Asia
AD-10180;Alan Dominguez;Outros;Jakarta;Jakarta;Indonesia;APAC;Southeast Asia
BP-11155;Becky Pak;Consumidor;London;England;United Kingdom;EU;North
AA-10480;Andrew Allen;Consumidor;Bangkok;Bangkok;Thailand;APAC;Southeast Asia
RL-19615;Rob Lucas;Consumidor;Newcastle;New South Wales;Australia;APAC;Oceania
CS-12505;Cindy Stewart;Consumidor;Lancaster;Ohio;United States;US;East
SW-20245;Scot Wooten;Consumidor;Surakarta;Jawa Tengah;Indonesia;APAC;Southeast Asia
TA-21385;Tom Ashbrook;Outros;New York City;New York;United States;US;East
YC-21895;Yoseph Carroll;Corporativo;London;England;United Kingdom;EU;North
JM-15580;Jill Matthias;Consumidor;Tulancingo;Hidalgo;Mexico;LATAM;North
MZ-7335;Maria Zettner;Outros;Brest;Brest;Belarus;EMEA;EMEA
JF-15295;Jason Fortune-;Consumidor;Valencia;Valenciana;Spain;EU;South
JL-15835;John Lee;Consumidor;Charlotte;North Carolina;United States;US;South
DJ-3510;Don Jones;Corporativo;Zhytomyr;Zhytomyr;Ukraine;EMEA;EMEA
MF-18250;Monica Federle;Corporativo;Argenteuil;Ile-de-France;France;EU;Central
JE-15610;Jim Epp;Corporativo;Atlanta;Georgia;United States;US;South
CP-12340;Christine Phan;Corporativo;Aurangabad;Bihar;India;APAC;Central Asia
EH-14125;Eugene Hildebrand;Outros;Plaisir;Ile-de-France;France;EU;Central
NC-18340;Nat Carroll;Consumidor;Melbourne;Victoria;Australia;APAC;Oceania
JS-16030;Joy Smith;Consumidor;Medan;Sumatera Utara;Indonesia;APAC;Southeast Asia
AM-10360;Alice McCarthy;Corporativo;Harrogate;England;United Kingdom;EU;North
JF-15190;Jamie Frazer;Consumidor;Phnom Penh;Phnom Penh;Cambodia;APAC;Southeast Asia
JG-15160;James Galang;Consumidor;Stockton-on-Tees;England;United Kingdom;EU;North
DP-13390;Dennis Pardue;Outros;North Las Vegas;Nevada;United States;US;West
AG-10330;Alex Grayson;Consumidor;Jambi;Jambi;Indonesia;APAC;Southeast Asia
GK-14620;Grace Kelly;Corporativo;Los Angeles;California;United States;US;West
NF-18475;Neil Französisch;Outros;Moers;North Rhine-Westphalia;Germany;EU;Central
DR-12940;Daniel Raglin;Outros;Townsville;Queensland;Australia;APAC;Oceania
NB-18655;Nona Balk;Corporativo;Hamburg;Hamburg;Germany;EU;Central
NM-18445;Nathan Mautz;Outros;Shenzhen;Guangdong;China;APAC;North Asia
NP-18670;Nora Paige;Consumidor;Lakewood;New Jersey;United States;US;East
SC-20380;Shahid Collister;Consumidor;Marikina;National Capital;Philippines;APAC;Southeast Asia
PA-9060;Pete Armstrong;Outros;Johannesburg;Gauteng;South Africa;Africa;Africa
RB-19570;Rob Beeghly;Consumidor;Barakaldo;Basque Country;Spain;EU;South
SR-20740;Steven Roelle;Outros;New York City;New York;United States;US;East
RH-19510;Rick Huthwaite;Outros;Providence;Rhode Island;United States;US;East
LH-16750;Larry Hughes;Consumidor;Santo Domingo;Santo Domingo;Dominican Republic;LATAM;Caribbean
KB-16585;Ken Black;Corporativo;Qingdao;Shandong;China;APAC;North Asia
EM-13810;Eleni McCrary;Corporativo;San Francisco;California;United States;US;West
MZ-7515;Mary Zewe;Corporativo;Shiraz;Fars;Iran;EMEA;EMEA
DM-13345;Denise Monton;Corporativo;Bokaro;Jharkhand;India;APAC;Central Asia
CA-11965;Carol Adams;Corporativo;Fuji;Shizuoka;Japan;APAC;North Asia
SC-20305;Sean Christensen;Consumidor;Benidorm;Valenciana;Spain;EU;South
MH-18115;Mick Hernandez;Outros;Kozhikode;Kerala;India;APAC;Central Asia
KS-16300;Karen Seio;Corporativo;Adelaide;South Australia;Australia;APAC;Oceania
BG-11740;Bruce Geld;Consumidor;Kuala Lumpur;Kuala Lumpur;Malaysia;APAC;Southeast Asia
CR-2625;Corey Roper;Outros;Astrakhan';Astrakhan';Russia;EMEA;EMEA
CB-12415;Christy Brittain;Consumidor;Columbus;Ohio;United States;US;East
AP-10720;Anne Pryor;Outros;Jabalpur;Madhya Pradesh;India;APAC;Central Asia
CR-12820;Cyra Reiten;Outros;Patna;Bihar;India;APAC;Central Asia
BF-11080;Bart Folk;Consumidor;Adelaide;South Australia;Australia;APAC;Oceania
JM-15265;Janet Molinari;Corporativo;Marikina;National Capital;Philippines;APAC;Southeast Asia
TW-21025;Tamara Willingham;Outros;La Baule-Escoublac;Pays de la Loire;France;EU;Central
RB-19330;Randy Bradley;Consumidor;Dijon;Burgundy;France;EU;Central
JA-15970;Joseph Airdo;Consumidor;Philadelphia;Pennsylvania;United States;US;East
AB-60;Adam Bellavance;Outros;Cape Town;Western Cape;South Africa;Africa;Africa
JR-5670;Jim Radford;Consumidor;Cairo;Al Qahirah;Egypt;Africa;Africa
MD-17350;Maribeth Dona;Consumidor;Medellín;Antioquia;Colombia;LATAM;South
PK-19075;Pete Kriz;Consumidor;New York City;New York;United States;US;East
TP-21130;Theone Pippenger;Consumidor;Detroit;Michigan;United States;US;Central
JK-15640;Jim Kriz;Outros;Seattle;Washington;United States;US;West
CD-11920;Carlos Daly;Consumidor;New York City;New York;United States;US;East
JL-5835;John Lee;Consumidor;Baku;Baki;Azerbaijan;EMEA;EMEA
EP-13915;Emily Phan;Consumidor;Jakarta;Jakarta;Indonesia;APAC;Southeast Asia
MS-17770;Maxwell Schwartz;Consumidor;Burnley;England;United Kingdom;EU;North
CM-12655;Corinna Mitchell;Outros;Laval;Pays de la Loire;France;EU;Central
JC-6105;Julie Creighton;Corporativo;Vilnius;Vilnius;Lithuania;EMEA;EMEA
GB-14530;George Bell;Corporativo;Brisbane;Queensland;Australia;APAC;Oceania
JH-16180;Justin Hirsh;Consumidor;Buenos Aires;Buenos Aires;Argentina;LATAM;South
MT-8070;Michelle Tran;Outros;Girga;Suhaj;Egypt;Africa;Africa
CV-2805;Cynthia Voltz;Corporativo;Maseru;Maseru;Lesotho;Africa;Africa
NH-18610;Nicole Hansen;Corporativo;Wellington;Wellington;New Zealand;APAC;Oceania
HJ-14875;Heather Jas;Outros;Luoyang;Henan;China;APAC;North Asia
JL-15175;James Lanier;Outros;Feira de Santana;Bahia;Brazil;LATAM;South
MY-18295;Muhammed Yedwab;Corporativo;Matagalpa;Matagalpa;Nicaragua;LATAM;Central
MW-18235;Mitch Willingham;Corporativo;Virginia Beach;Virginia;United States;US;South
KC-16540;Kelly Collister;Consumidor;Managua;Managua;Nicaragua;LATAM;Central
HA-14920;Helen Andreada;Consumidor;Wuhai;Inner Mongolia;China;APAC;North Asia
MT-17815;Meg Tillman;Consumidor;Nantes;Pays de la Loire;France;EU;Central
FW-14395;Fred Wasserman;Corporativo;Strasbourg;Alsace;France;EU;Central
BH-11710;Brosina Hoffman;Consumidor;Berlin;Berlin;Germany;EU;Central
DK-12895;Dana Kaydos;Consumidor;Surabaya;Jawa Timur;Indonesia;APAC;Southeast Asia
SC-20845;Sung Chung;Consumidor;Vienna;Vienna;Austria;EU;Central
CY-12745;Craig Yedwab;Corporativo;Mexico City;Distrito Federal;Mexico;LATAM;North
HL-15040;Hunter Lopez;Consumidor;Hobart;Tasmania;Australia;APAC;Oceania
CT-11995;Carol Triggs;Consumidor;Hirakata;Osaka;Japan;APAC;North Asia
GR-4560;Georgia Rosenberg;Corporativo;Maseru;Maseru;Lesotho;Africa;Africa
TT-21070;Ted Trevino;Consumidor;Agra;Uttar Pradesh;India;APAC;Central Asia
PO-19195;Phillina Ober;Outros;Granollers;Catalonia;Spain;EU;South
ED-13885;Emily Ducich;Outros;Ho Chi Minh City;Ho Chí Minh City;Vietnam;APAC;Southeast Asia
TM-21490;Tony Molinari;Consumidor;Camagüey;Camagüey;Cuba;LATAM;Caribbean
AW-10840;Anthony Witt;Consumidor;Amsterdam;North Holland;Netherlands;EU;Central
AT-10735;Annie Thurman;Consumidor;Morristown;New Jersey;United States;US;East
SG-10605;Speros Goranitis;Consumidor;Piatra-Neamt;Neamt;Romania;EMEA;EMEA
BM-11785;Bryan Mills;Consumidor;Milpa Alta;Distrito Federal;Mexico;LATAM;North
DK-13375;Dennis Kane;Consumidor;León;Guanajuato;Mexico;LATAM;North
PF-19225;Phillip Flathmann;Consumidor;Los Angeles;California;United States;US;West
TG-21310;Toby Gnade;Consumidor;Los Angeles;California;United States;US;West
SF-10200;Sarah Foster;Consumidor;Izmir;Izmir;Turkey;EMEA;EMEA
JW-5220;Jane Waco;Corporativo;Dakar;Dakar;Senegal;Africa;Africa
CC-12100;Chad Cunningham;Outros;Coyoacán;Distrito Federal;Mexico;LATAM;North
RD-19930;Russell D'Ascenzo;Consumidor;Manukau City;Auckland;New Zealand;APAC;Oceania
BP-1230;Benjamin Patterson;Consumidor;Yaounde;Centre;Cameroon;Africa;Africa
CS-12175;Charles Sheldon;Corporativo;Bangkok;Bangkok;Thailand;APAC;Southeast Asia
JD-16060;Julia Dunbar;Consumidor;Santander;Cantabria;Spain;EU;South
GH-14665;Greg Hansen;Consumidor;Cangzhou;Hebei;China;APAC;North Asia
CM-11935;Carlos Meador;Consumidor;Shanghai;Shanghai;China;APAC;North Asia
RB-9465;Rick Bensley;Outros;Rybinsk;Yaroslavl';Russia;EMEA;EMEA
RB-19795;Ross Baird;Outros;Ibiúna;São Paulo;Brazil;LATAM;South
DL-13495;Dionis Lloyd;Corporativo;Philadelphia;Pennsylvania;United States;US;East
TS-21205;Thomas Seio;Corporativo;Canberra;Australian Capital Territory;Australia;APAC;Oceania
MV-8190;Mike Vittorini;Consumidor;Port Elizabeth;Eastern Cape;South Africa;Africa;Africa
BD-11560;Brendan Dodson;Outros;Cambridge;England;United Kingdom;EU;North
PS-18760;Pamela Stobb;Consumidor;Bandung;Jawa Barat;Indonesia;APAC;Southeast Asia
FM-14215;Filia McAdams;Corporativo;Mixco;Guatemala;Guatemala;LATAM;Central
CA-12775;Cynthia Arntzen;Consumidor;Kota;Chhattisgarh;India;APAC;Central Asia
CD-12790;Cynthia Delaney;Outros;Munster;Lower Saxony;Germany;EU;Central
NL-18310;Nancy Lomonaco;Outros;Christchurch;Canterbury;New Zealand;APAC;Oceania
TB-21055;Ted Butterfield;Consumidor;Vincennes;Ile-de-France;France;EU;Central
EH-4125;Eugene Hildebrand;Outros;Gyula;Bekes;Hungary;EMEA;EMEA
KB-16600;Ken Brennan;Corporativo;Lucknow;Uttar Pradesh;India;APAC;Central Asia
KW-16435;Katrina Willman;Consumidor;Florence;Kentucky;United States;US;South
MG-17695;Maureen Gnade;Consumidor;Turin;Piedmont;Italy;EU;South
HM-14860;Harry Marie;Corporativo;Springfield;Missouri;United States;US;Central
BP-11290;Beth Paige;Consumidor;Singapore;Singapore;Singapore;APAC;Southeast Asia
HZ-4950;Henia Zydlo;Consumidor;Benguela;Benguela;Angola;Africa;Africa
TC-20980;Tamara Chand;Corporativo;Lafayette;Indiana;United States;US;Central
EM-13825;Elizabeth Moffitt;Corporativo;Himeji;Hyogo;Japan;APAC;North Asia
BS-11800;Bryan Spruell;Outros;Kendari;Sulawesi Tenggara;Indonesia;APAC;Southeast Asia
DV-13465;Dianna Vittorini;Consumidor;Mejicanos;San Salvador;El Salvador;LATAM;Central
MB-17305;Maria Bertelson;Consumidor;Sydney;New South Wales;Australia;APAC;Oceania
PC-19000;Pauline Chand;Outros;Barcelona;Catalonia;Spain;EU;South
CA-12310;Christine Abelman;Corporativo;Menton;Provence-Alpes-Côte d'Azur;France;EU;Central
KC-16255;Karen Carlisle;Corporativo;Huntsville;Alabama;United States;US;South
DB-3660;Duane Benoit;Consumidor;Buzau;Buzau;Romania;EMEA;EMEA
SC-20260;Scott Cohen;Corporativo;San Francisco;California;United States;US;West
BD-11500;Bradley Drucker;Consumidor;Columbus;Georgia;United States;US;South
BM-11140;Becky Martin;Consumidor;San Antonio;Texas;United States;US;Central
KB-16315;Karl Braun;Consumidor;Kuala Lumpur;Kuala Lumpur;Malaysia;APAC;Southeast Asia
JM-15865;John Murray;Consumidor;Jamestown;New York;United States;US;East
AF-10885;Art Foster;Consumidor;Bayeux;Lower Normandy;France;EU;Central
SJ-20500;Shirley Jackson;Consumidor;Lens;Nord-Pas-de-Calais;France;EU;Central
WB-21850;William Brown;Consumidor;Los Angeles;California;United States;US;West
CC-12610;Corey Catlett;Corporativo;Iserlohn;North Rhine-Westphalia;Germany;EU;Central
BE-11455;Brad Eason;Outros;Sydney;New South Wales;Australia;APAC;Oceania
TG-21640;Trudy Glocke;Consumidor;Ghent;East Flanders;Belgium;EU;Central
MS-17365;Maribeth Schnelling;Consumidor;Los Angeles;California;United States;US;West
NP-18685;Nora Pelletier;Outros;Indianapolis;Indiana;United States;US;Central
RM-19675;Robert Marley;Outros;Los Angeles;California;United States;US;West
SN-20560;Skye Norling;Outros;Lahore;Punjab;Pakistan;APAC;Central Asia
CD-12280;Christina DeMoss;Consumidor;Sydney;New South Wales;Australia;APAC;Oceania
BG-11035;Barry Gonzalez;Consumidor;Espoo;Uusimaa;Finland;EU;North
CC-12550;Clay Cheatham;Consumidor;Whyalla;South Australia;Australia;APAC;Oceania
SV-20785;Stewart Visinsky;Consumidor;Medan;Sumatera Utara;Indonesia;APAC;Southeast Asia
HW-14935;Helen Wasserman;Corporativo;Ivry-sur-Seine;Ile-de-France;France;EU;Central
AS-10285;Alejandro Savely;Corporativo;Kanpur;Uttar Pradesh;India;APAC;Central Asia
LD-16855;Lela Donovan;Corporativo;Saint-Laurent-du-Var;Provence-Alpes-Côte d'Azur;France;EU;Central
NS-18505;Neola Schneider;Consumidor;Cartagena;Bolívar;Colombia;LATAM;South
CM-12715;Craig Molinari;Corporativo;Cancún;Quintana Roo;Mexico;LATAM;North
JD-6060;Julia Dunbar;Consumidor;Kumasi;Ashanti;Ghana;Africa;Africa
MG-17680;Maureen Gastineau;Outros;Ho Chi Minh City;Ho Chí Minh City;Vietnam;APAC;Southeast Asia
DB-13210;Dean Braden;Consumidor;London;England;United Kingdom;EU;North
CS-11860;Cari Schnelling;Consumidor;Vienna;Vienna;Austria;EU;Central
GG-14650;Greg Guthrie;Corporativo;Angers;Pays de la Loire;France;EU;Central
BN-11470;Brad Norvell;Corporativo;Bangkok;Bangkok;Thailand;APAC;Southeast Asia
BS-1665;Brian Stugart;Consumidor;Khorramabad;Lorestan;Iran;EMEA;EMEA
AC-10450;Amy Cox;Consumidor;Chennai;Tamil Nadu;India;APAC;Central Asia
CK-12205;Chloris Kastensmidt;Consumidor;Barletta;Apulia;Italy;EU;South
JD-16150;Justin Deggeller;Corporativo;Tamworth;England;United Kingdom;EU;North
CC-2550;Clay Cheatham;Consumidor;Kharkiv;Kharkiv;Ukraine;EMEA;EMEA
MS-17830;Melanie Seite;Consumidor;London;England;United Kingdom;EU;North
SM-20950;Suzanne McNair;Corporativo;Philadelphia;Pennsylvania;United States;US;East
CL-12700;Craig Leslie;Outros;Kulti;West Bengal;India;APAC;Central Asia
